maven/mavencentral/org.jacoco/org.jacoco.core/0.7.6.201602180812, EPL-1.0, approved, CQ11820
maven/mavencentral/org.jacoco/org.jacoco.report/0.7.6.201602180812, EPL-1.0 OR Apache-2.0, approved, CQ11821
maven/mavencentral/org.javassist/javassist/3.29.2-GA, Apache-2.0 AND LGPL-2.1-or-later AND MPL-1.1, approved, #6023
maven/mavencentral/org.jboss.logging/jboss-logging/3.4.1.Final, Apache-2.0, approved, CQ21255
maven/mavencentral/org.jetbrains/annotations/17.0.0, Apache-2.0, approved, #19678
maven/mavencentral/org.junit.jupiter/junit-jupiter-api/5.10.1, EPL-2.0, approved, #9714
maven/mavencentral/org.junit.jupiter/junit-jupiter-engine/5.10.1, EPL-2.0, approved, #9711
maven/mavencentral/org.junit.jupiter/junit-jupiter-params/5.10.1, EPL-2.0, approved, #15304
maven/mavencentral/org.junit.jupiter/junit-jupiter/5.10.1, EPL-2.0, approved, #15197
maven/mavencentral/org.junit.platform/junit-platform-commons/1.10.1, EPL-2.0, approved, #9715
maven/mavencentral/org.junit.platform/junit-platform-engine/1.10.1, EPL-2.0, approved, #9709
maven/mavencentral/org.junit.platform/junit-platform-launcher/1.10.1, EPL-2.0, approved, #9704
maven/mavencentral/org.junit.vintage/junit-vintage-engine/5.10.1, EPL-2.0, approved, #9717
maven/mavencentral/org.junit/junit-bom/5.10.1, EPL-2.0, approved, #9844
maven/mavencentral/org.jvnet.mimepull/mimepull/1.9.11, CDDL-1.1 OR GPL-2.0-only WITH Classpath-exception-2.0, approved, CQ21484
maven/mavencentral/org.jvnet.staxex/stax-ex/1.8, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/org.keycloak/keycloak-adapter-spi/15.0.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.keycloak/keycloak-common/15.0.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.keycloak/keycloak-saml-adapter-api-public/15.0.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.keycloak/keycloak-saml-adapter-core/15.0.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.keycloak/keycloak-saml-core-public/15.0.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.keycloak/keycloak-saml-core/15.0.2, Apache-2.0, approved, clearlydefined
